"FileName","Path","SHA256","Size"
"bdvid64.dll","C:\Program Files\Hof\Talesrunner\bdvid64.dll","8347E8608C2519802F64183EBD065FB5F4CB8D24464A3F39C8AB5166D00CE518","8432048"
"boost_python27-vc143-mt-x64-1_81.dll","C:\Program Files\Hof\Talesrunner\boost_python27-vc143-mt-x64-1_81.dll","EFF278A5A9F384754DABAF855CDD86D1A431C998CAC36A851BFF20A01A51FED1","201216"
"cabinet.dll","C:\Program Files\Hof\Talesrunner\cabinet.dll","6772ECD0CC6DA1896BE8537252140B966B2FCE76C4092CB83DC713EF33D64A57","129536"
"dbghelp.dll","C:\Program Files\Hof\Talesrunner\dbghelp.dll","9A26FFAFFB26FA6549C6DA75F76238A903CA723F9DAD356FBA8D91067FE312FD","1080656"
"fmodex64.dll","C:\Program Files\Hof\Talesrunner\fmodex64.dll","6377177538261F23A0FFC5F5765E6778E3D1CBED584298ABA08CAFAECC43A189","1495040"
"GdiPlus.dll","C:\Program Files\Hof\Talesrunner\GdiPlus.dll","B368DCB25F79E1655B21FD7E07699B4F7792342E24517A920EB82B8F339AD8A5","1709056"
"Intro.dat","C:\Program Files\Hof\Talesrunner\Intro.dat","ED34E075EDC7D717E58AC2328F985ABE4AD39845D820328A0DEBFD7CBB2A6D1D","101397"
"IntroMovie.dat","C:\Program Files\Hof\Talesrunner\IntroMovie.dat","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","0"
"launcher.bmp","C:\Program Files\Hof\Talesrunner\launcher.bmp","C10873003B6B53D6789455F149D2AFEEE8F1142FFC92EC77CA3D07B7AE318279","4536054"
"libcrypto-3-x64.dll","C:\Program Files\Hof\Talesrunner\libcrypto-3-x64.dll","D45FF6FDB2911D07EFC3D47A2E0298534EAB617D63E9EEBD358D1686ED0992AA","6599680"
"msvcp140.dll","C:\Program Files\Hof\Talesrunner\msvcp140.dll","A030DC2DFD2ECA28A9375C92989ADF4DAF161F988DB5E16B9E10678EB0DFF4C7","573008"
"msvcp140_atomic_wait.dll","C:\Program Files\Hof\Talesrunner\msvcp140_atomic_wait.dll","2F9CDD965650440CEBAF2349140A7DDE9B587829B7753DE8CD051933A777F499","50256"
"Patch.dat","C:\Program Files\Hof\Talesrunner\Patch.dat","D8DC78516CEB4A6DD27FF1D048A6F73511A2F09CBF1A6EFE859D8EF2B88125C0","39589"
"patch.png","C:\Program Files\Hof\Talesrunner\patch.png","E6580B343DC4198BD8A06DDCC262B08A292C125D932FEDB1C83B0097FF10368D","376373"
"patch.st","C:\Program Files\Hof\Talesrunner\patch.st","E218F770A556FBAACB47378A19660983424ADEE414F2C34250301602E5A83511","1486"
"patch.xml","C:\Program Files\Hof\Talesrunner\patch.xml","6E2F2807FC0750B6695411D6E0F9BB32C0000C65B10906561477C8AFD075ED29","1528"
"python27.dll","C:\Program Files\Hof\Talesrunner\python27.dll","ABBD29C2FD8E9E0B8A9C92BE2A3A20C885A39DA3CE98BFB79177F9B775E49980","3004416"
"startup.png","C:\Program Files\Hof\Talesrunner\startup.png","4B737EA6FC40DC5022AA3DB13FEB292F3F7FDC836B7251DC0F97A4A00D8A1A70","27434"
"talesrunner.exe","C:\Program Files\Hof\Talesrunner\talesrunner.exe","4A01BA06F9A381B5340AEFF59F913A132F7FA30E8D6048E64EAB95C331B7E014","3615080"
"TRInstAction.dll","C:\Program Files\Hof\Talesrunner\TRInstAction.dll","308DDA0DEDE8D000D1B9155D361AECE924F1892DC214E1C9592CFD0046BFD0CB","7168"
"TRInstAction.InstallState","C:\Program Files\Hof\Talesrunner\TRInstAction.InstallState","A9E636FFAA636D4FDA92BCEE8422B7ABF8ABCF0BCF5FF860CEAF23E327FE0B21","2597"
"TRUnIAction.dll","C:\Program Files\Hof\Talesrunner\TRUnIAction.dll","60DBC12C62508D3986CA1CE13005A12846EBE0BD9416432DFE79F6FCFF91D951","4608"
"TRWebViewer.dll","C:\Program Files\Hof\Talesrunner\TRWebViewer.dll","C3D72383F312A5445280DCB6AB16F81673DB88D33BFA30CDD43B0556B19FC218","80896"
"upfile.exe","C:\Program Files\Hof\Talesrunner\upfile.exe","13ACDEC6A971747B036198512F72664D3C4E3AA3B6B5E504AB0BB43F26DCCE46","1958664"
"upfile.st","C:\Program Files\Hof\Talesrunner\upfile.st","BB977ED28F3475E663462CC769FD9D5443D1F515870DCBDE64429720358F527D","1120"
"upfile_warn.st","C:\Program Files\Hof\Talesrunner\upfile_warn.st","5F03A0079E05F142BC412621F891631C73ED6323F8A1BEAB62116560DE728843","684"
"vcomp140.dll","C:\Program Files\Hof\Talesrunner\vcomp140.dll","D49B394DE1154176B39611C37C669EBFF50AA5A818DBD5FF3D2214A299368DDD","196688"
"vcruntime140.dll","C:\Program Files\Hof\Talesrunner\vcruntime140.dll","F843CD00D9AFF9A902DD7C98D6137639A10BD84904D81A085C28A3B29F8223C1","119376"
"vcruntime140_1.dll","C:\Program Files\Hof\Talesrunner\vcruntime140_1.dll","E4E85EEA1106D361923995E53A0B961A28D4FB58555F40945003F35E5BF2C273","49776"
"WebView2Loader.dll","C:\Program Files\Hof\Talesrunner\WebView2Loader.dll","CDD25193BB80A1128F9CD9867E901F9A9D746D8E49A82A326BABD0ABCE07DA05","158648"
"wrap_oal.dll","C:\Program Files\Hof\Talesrunner\wrap_oal.dll","C2EF86CBDB7FA07A9DA8F56D5FFA548C57C5EAAFD1CE5462ED397DE7B8C823A3","413696"
"x3.xem","C:\Program Files\Hof\Talesrunner\x3.xem","B421F4ED073F686128D283C35CD40744F2AA625020FC8706E7236B63498B23C8","3730408"
"x3_x64.xem","C:\Program Files\Hof\Talesrunner\x3_x64.xem","6A8E373D7C10060F8612BB0F9A0D13A1C3DE73EBD9B73F89D50DF30CE673FAD7","6426912"
"xcorona.xem","C:\Program Files\Hof\Talesrunner\xcorona.xem","798B1568E6CE197071B771FE897870C04BDDF75279382EC00F7CC9128F330DE8","6529880"
"xcorona_arm64.xem","C:\Program Files\Hof\Talesrunner\xcorona_arm64.xem","E49C7C79A6612ACD2F47929A89CB66C4AE847705F042D1BB6C0205188E0D7062","12389160"
"xcorona_x64.xem","C:\Program Files\Hof\Talesrunner\xcorona_x64.xem","F082C98677EA4B6A2088FB74906AB798E1D9AD58C51F66D783BCDFAA599526B7","6973552"
"xldr_TalesRunner_TH_loader_x64.exe","C:\Program Files\Hof\Talesrunner\xldr_TalesRunner_TH_loader_x64.exe","1C173D8E6490F81B35F0C199195CD0EF6EF88ECF5A0671D03E9DCA92F0AA0AD9","12104544"
"xnina.xem","C:\Program Files\Hof\Talesrunner\xnina.xem","59E781EF16CFDB01F79D34291045C80358EDA2DE9E2DA8593BE9A1802CBDB56D","1777664"
"xnina_x64.xem","C:\Program Files\Hof\Talesrunner\xnina_x64.xem","6DCF873C19259EE8DA533BEF1A604F728812ED5CC9DE288BB37368BA1ED5DAE0","2031616"
